probability_type,mean_predicted_probability,observed_readmission_rate
uncalibrated,0.27672184807612527,0.04076620825147348
uncalibrated,0.33723543160377617,0.04914004914004914
uncalibrated,0.37232620390978727,0.05995085995085995
uncalibrated,0.4038852723297061,0.07220039292730845
uncalibrated,0.44046901110056286,0.08452088452088452
uncalibrated,0.47983402403332387,0.10761670761670762
uncalibrated,0.5113142781208446,0.11149312377210216
uncalibrated,0.5448985141969723,0.1493857493857494
uncalibrated,0.6002968495542352,0.1714987714987715
uncalibrated,0.6977653734400605,0.2691552062868369
calibrated_sigmoid,0.04243668110093443,0.04223968565815324
calibrated_sigmoid,0.05531418248178007,0.04864864864864865
calibrated_sigmoid,0.06472595565674942,0.05847665847665848
calibrated_sigmoid,0.074531053381811,0.0756385068762279
calibrated_sigmoid,0.08776812002658585,0.08058968058968059
calibrated_sigmoid,0.10434631370815037,0.10417690417690417
calibrated_sigmoid,0.11962108091336143,0.12033398821218075
calibrated_sigmoid,0.13816553570342927,0.14889434889434888
calibrated_sigmoid,0.17386245729204722,0.1665847665847666
calibrated_sigmoid,0.25704631933443334,0.27013752455795675
