group_type,group,n,positive_cases,observed_readmission_rate,predicted_positive_rate,roc_auc,precision,recall,f1
gender,Female,10924,1255,0.1148846576345661,0.32588795313072133,0.684859939701325,0.19634831460674157,0.5569721115537849,0.2903426791277259
gender,Male,9430,1016,0.10774125132555673,0.30424178154825027,0.675717051071611,0.18647612408504705,0.5265748031496063,0.2754182754182754
age,[10-20),130,6,0.046153846153846156,0.06923076923076923,0.842741935483871,0.3333333333333333,0.5,0.4
age,[20-30),324,43,0.13271604938271606,0.29012345679012347,0.8323264090043863,0.35106382978723405,0.7674418604651163,0.48175182481751827
age,[30-40),725,78,0.10758620689655173,0.2413793103448276,0.7096460983632545,0.21142857142857144,0.47435897435897434,0.2924901185770751
age,[40-50),1913,188,0.0982749607945635,0.2671197072660742,0.7469503546099291,0.22896281800391388,0.6223404255319149,0.33476394849785407
age,[50-60),3457,301,0.08706971362452993,0.24182817471796356,0.7033504709691818,0.18181818181818182,0.5049833887043189,0.2673702726473175
age,[60-70),4547,529,0.11634044424895536,0.2922806245876402,0.656572361989196,0.1948833709556057,0.4896030245746692,0.27879440258342303
age,[70-80),5234,628,0.1199847153228888,0.35326709973251813,0.6525367770092182,0.18983234180638184,0.5589171974522293,0.2834073475979007
age,[80-90),3414,424,0.12419449326303457,0.4097832454598711,0.6487734271470941,0.17441029306647604,0.5754716981132075,0.26769061985737796
age,[90-100),576,74,0.1284722222222222,0.3940972222222222,0.6094002368902768,0.16740088105726872,0.5135135135135135,0.25249169435215946
age_band,<60,6583,616,0.09357435819535166,0.24684794166793256,0.7309447088858854,0.21046153846153845,0.5551948051948052,0.30522088353413657
age_band,>=60,13771,1655,0.12018008859196863,0.3488490305714908,0.652617197902651,0.18567860116569526,0.5389728096676737,0.276203746710017
race,AfricanAmerican,3866,432,0.11174340403517848,0.31712364200724263,0.6730260035807503,0.18841761827079934,0.5347222222222222,0.27864897466827504
race,Asian,123,10,0.08130081300813008,0.21951219512195122,0.5513274336283186,0.07407407407407407,0.2,0.10810810810810811
race,Caucasian,15223,1717,0.11278985745253892,0.3216842935032517,0.6806038706151954,0.19358791096589748,0.5521258008153757,0.28666465074085273
race,Hispanic,404,50,0.12376237623762376,0.27970297029702973,0.7711299435028248,0.24778761061946902,0.56,0.34355828220858897
race,Other,276,20,0.07246376811594203,0.2608695652173913,0.7005859375000001,0.125,0.45,0.1956521739130435
