feature,mean_abs_shap
categorical__diag_1_V58,0.6304307
categorical__medical_specialty_Otolaryngology,0.33250606
categorical__diag_1_V55,0.3040292
categorical__diag_3_250.6,0.29175624
categorical__diag_1_443,0.25912365
categorical__medical_specialty_Pediatrics-Endocrinology,0.2570551
numeric__number_inpatient,0.24630302
categorical__diag_1_250.41,0.21866883
categorical__diag_2_272,0.20976852
categorical__diag_1_386,0.19038418
categorical__diag_2_507,0.1884784
categorical__diag_3_581,0.17928131
categorical__diag_1_250.6,0.16752695
categorical__diag_3_553,0.16632967
numeric__discharge_disposition_id,0.15168755
categorical__diag_2_250.41,0.14675893
categorical__diag_2_V43,0.14042833
categorical__medical_specialty_Orthopedics-Reconstructive,0.14039601
categorical__medical_specialty_ObstetricsandGynecology,0.13247786
categorical__diag_1_440,0.12349555
categorical__diag_1_566,0.112676114
categorical__diag_1_786,0.10167096
categorical__diag_1_218,0.10067376
categorical__payer_code_WC,0.09343089
categorical__diag_2_719,0.093246534
categorical__diag_3_V10,0.08724905
categorical__diag_1_569,0.084928766
categorical__diag_1_540,0.084208444
categorical__diag_1_250.2,0.08107196
categorical__diag_2_401,0.07768335
categorical__diag_2_250,0.07407918
categorical__diag_1_434,0.06898636
categorical__diag_1_787,0.06876068
categorical__diag_3_789,0.06836598
categorical__diag_3_536,0.06800935
categorical__diag_3_V64,0.06742225
categorical__glyburide_Steady,0.06697759
categorical__diag_3_250.92,0.06597887
categorical__diag_3_278,0.06473124
categorical__medical_specialty_Emergency/Trauma,0.062151544
categorical__diag_1_722,0.061330676
categorical__diag_1_250.02,0.05838899
categorical__diag_3_250,0.05717653
categorical__diag_2_198,0.056599088
categorical__diag_3_401,0.055360373
numeric__admission_source_id,0.05507727
categorical__diag_1_346,0.054262184
categorical__diag_2_648,0.053381994
categorical__diag_3_250.42,0.05285138
numeric__num_lab_procedures,0.052340493
categorical__diag_2_412,0.05229263
categorical__age_[10-20),0.051716067
categorical__diag_2_285,0.050369225
categorical__diag_1_682,0.050334312
categorical__diag_2_682,0.05012413
categorical__age_[50-60),0.05011255
categorical__diag_1_403,0.049360618
categorical__diag_3_455,0.049200673
categorical__diag_1_726,0.048651632
categorical__diag_2_342,0.048453234
numeric__time_in_hospital,0.046588782
categorical__age_[0-10),0.044156656
categorical__medical_specialty_Neurology,0.043556426
categorical__diag_2_496,0.043405812
categorical__diag_1_486,0.042966105
