threshold,precision,recall,f1,specificity,predicted_positive_rate,true_positives,false_positives,true_negatives,false_negatives
0.05,0.11923601637107777,0.9621312197269926,0.21217712177121772,0.10744898523475087,0.9003144345091874,2185,16140,1943,86
0.075,0.14486123818237268,0.836635843240863,0.24696172093325536,0.3797489354642482,0.6443942222658937,1900,11216,6867,371
0.1,0.16524421593830335,0.7076177895200352,0.26792264088029344,0.5510700658076647,0.47779306278864103,1607,8118,9965,664
0.125,0.19194275937159744,0.5433729634522237,0.28367816091954023,0.7127135984073439,0.31585929055713863,1234,5195,12888,1037
0.15,0.21789600967351874,0.396741523557904,0.28129878239150796,0.8211579936957363,0.20315417117028595,901,3234,14849,1370
0.175,0.2376336898395722,0.3130779392338177,0.2701881056431693,0.8738594259802024,0.1469981330451017,711,2281,15802,1560
0.2,0.2689688715953307,0.24350506384852488,0.2556043448116478,0.9168832605209313,0.10101208607644689,553,1503,16580,1718
0.25,0.350253807106599,0.1215323645970938,0.18045112781954886,0.9716861140297517,0.03871474894369657,276,512,17571,1995
0.3,0.3922518159806295,0.071334214002642,0.12071535022354694,0.9861195598075541,0.02029085192099833,162,251,17832,2109
0.4,0.5636363636363636,0.013650374284456186,0.026655202063628546,0.9986727865951446,0.0027021715633290754,31,24,18059,2240
0.5,0.0,0.0,0.0,1.0,0.0,0,0,18083,2271
